index,text,heart_disease_detected
11,preoperative diagnosis carcinoma of the left upper lobe procedures performed 1 bronchoscopy with aspiration 2 left upper lobectomy procedure details with patient in supine position under general anesthesia with endotracheal tube in place the flexible bronchoscope was then placed down through the endotracheal tube to examine the carina the carina was in the midline and sharp moving directly to the right side the right upper and middle lower lobes were examined and found to be free of obstructions aspiration was carried out for backlog ________ examination we then moved to left side left upper lobe there was tumor mass located in the lingula of the left lobe and left lower lobe found free of obstruction no anatomic lesions were demonstrated the patient was prepared for left thoracotomy rotated to his right side with double lumen endotracheal tube in place with an ng tube and foley catheter after proper position utilizing betadine solution they were draped posterolateral left thoracotomy incision was performed hemostasis was secured with electrocoagulation the chest wall muscle was then divided over the sixth rib the periosteum of the sixth rib was then removed superiorly and the pleural cavity was entered carefully at this time the mass was felt in the left upper lobe which measures greater than 3 cm by palpation we examined the superior mediastinum no lymph nodes were demonstrated as well as in the anterior mediastinum direction was then moved to the fascia where by utilizing sharp and blunt dissection lingual artery was separated into the left upper lobe casual dissection was carried out with superior segmental arteries and left lower lobe was examined dissection was carried out around the pulmonary artery thus exposing the posterior artery to the left upper lobe direction was carried out to the superior pulmonary vein and utilizing sharp and blunt dissection the entire superior pulmonary vein was separated from the surrounding tissue from the top side the bronchus was then separated away from the pulmonary artery anteriorly thus exposing the apical posterior artery which was short tumor mass was close to the artery at this time we then directed ourselves once again to the lingual artery which was doubly ligated and cut free the posterior artery of the superior branch was doubly ligated and cut free also at this time the bronchus of the left upper lobe was encountered in the fissure on palpation to separate the upper lobe bronchus from lower lobe bronchus and the area was accomplished we then moved anteriorly to doubly ligate the pulmonary vein using 00 silk sutures for ligation and transection 00 silk suture was used to fixate the vein using sharp and blunt dissection the bronchus through the left upper lobe was freed proximal using the ta 50 the bronchus was then cut free allowing the lung to fall superiorly at which time direction was carried out to the pulmonary artery where the tumor was in close proximity at this time potts clamp arterial was then placed over the artery and shaving off the tumor and the apical posterior artery was then accomplished the anterior artery was seen in the clamp also and was separated and ligated and separated at this time the entire tumor in the left upper lobe was then removed direction was carried to the suture where 000 silk was used as running suture over the pulmonary artery and was here doubly run and tied in place the clamp was then removed no bleeding was seen at this time lymph nodes were then removed from the sump of the separation between the upper lobe and the lower lobe and sent for separate pathology we then carried out incision in the inferior pulmonary ligament up to the pulmonary vein allowing the lung to reexpand to its normal position at this time two chest tubes 28 and 32 were placed anteriorly and posteriorly to fixate the skin using raw silk suture the chest cavity was then closed after reexamination no bleeding was seen with three pericostal sutures of 1 chromic double strength 2 0 polydek was then used to close the chest wall muscle the anterior as well as latissimus dorsi 000 chromic subcutaneous tissue skin clips to the skin the chest tubes were attached to the pleur evac drainage and placed on suction at this time the patient was extubated in the room without difficulty and sent to recovery in satisfactory ,yes
12,description hospitalizations for heart failure spike after major holidays click here now http bit do fitness news tags published mon jun 20 13 14 40 edt 2016,no
13,not bad move from him considering hillary is suffering from congestive heart failure and could well die mid debate if trump roasts her enough,no
14,the patient and his wife had the opportunity to ask questions all of which were answered for them and the patient stated in clear competent and coherent fashion that he wished to go forward with cardiac catheterization which felt was appropriate procedure note the patient was brought to the cardiac catheterization lab in fasting state all appropriate labs had been reviewed bilateral groins were prepped and draped in the usual fashion for sterile conditions the appropriate time out procedure was performed with appropriate identification of the patient procedure physician position and documentation all done under my direct supervision and there were no safety issues raised by the staff he received total of 2 mg of versed and 50 mcg of fentanyl utilizing titrated concentration with good effect bilateral groins had been prepped and draped in the usual fashion right femoral inguinal fossa was anesthetized with 1 topical lidocaine and 6 french vascular sheath was put into place percutaneously via guide wire exchanger with finder needle all catheters were passed using j tipped guide wire left heart catheterization and left ventriculography performed using 6 french pigtail catheter left system coronary angiography performed using 6 french jl4 catheter right system coronary angiography performed using 6 french cdrc catheter following the procedure all catheters were removed manual pressure was held with the neptune pad and the patient was discharged back to his room inspected the femoral arteriotomy site after the procedure was complete and it was benign without evidence of hematoma nor bruit with intact distal pulses there were no apparent complications total of 77 cc of isovue dye and 1 4 minutes of fluoroscopy time were utilized during the case findings hemodynamics lv pressure is 120 edp is 20 aortic pressure 120 62 mean of 82 lv function is normal ef 60 no wall motion abnormalities coronary anatomy 1 left main demonstrates 30 40 distal left main lesion which is tapering not felt significantly obstructive 2 the lad demonstrates proximal moderate 50 lesion and severe mid lad lesion immediately after the take off of this large diagonal of 99 which is quite severe with timi 3 flow throughout the lad and the left main 3 the left circumflex demonstrates mid 90 severe lesion with timi 3 flow 4 the right coronary artery was the dominant artery giving rise to right posterior descending artery demonstrates mild luminal irregularity there is moderate distal pda lesion of 60 seen impression 1 mild to moderate left main stenosis 2 very severe mid lad stenosis with severe mid left circumflex stenosis and moderate prox lad cad we are going to continue the patient aspirin beta blocker as heart rate tolerates as he tends to run on the bradycardic side and add statin we will check fasting lipid profile and alt and titrate statin therapy to keep ldl of 70 mg deciliter or less but in the past the patient ldl had been higher or high ,yes
15,i was on enalapril for some time it made me cough uncontrollably and is known for it got it changed to different med didn think it was diuretic though got it to reduce blood pressure it is an angiotensin that helps keep the blood vessels open and is used for congestive heart failure but it can cause renal failure br ,yes
16,referral indication 1 tachybrady syndrome 2 chronic atrial fibrillation procedures planned and performed 1 implantation of single chamber pacemaker 2 fluoroscopic guidance for implantation of single chamber pacemaker fluoroscopy time 1 2 minutes medications at the time of study 1 ancef 1 2 benadryl 50 mg 3 versed 3 mg 4 fentanyl 150 mcg clinical history the patient is pleasant 73 year old female with chronic atrial fibrillation she has been found to have tachybrady syndrome has been referred for pacemaker implantation risks and benefits risks benefits and alternatives of implantation of single chamber pacemaker were discussed with the patient the patient agreed both verbally and via written consent risks that were discussed included but were not limited to bleeding infection vascular injury cardiac perforation stroke myocardial infarction need for urgent cardiovascular surgery and death were discussed with the patient the patient agreed both verbally and via written consent description of procedure the patient was transported to the cardiac catheterization laboratory in fasting state the region of the left deltopectoral groove was prepped and draped in the usual sterile manner lidocaine 1 20 ml was administered to the area percutaneous access of the left axillary vein was then performed wire was then advanced in the left axillary vein using fluoroscopy following this 4 inch long transverse incision was made through the skin and subcutaneous tissue exposing the pectoral fascia and muscle beneath lidocaine 1 10 ml was then administered to the medial aspect of the incision and pocket was fashioned in the medial direction using the previously placed guidewire 7 french sidearm sheath was advanced over the wire into the vein the dilator and wire were removed an active pacing lead was then advanced down in the right atrium the peel away sheath was removed lead was passed across the tricuspid valve and positioned in an apical septal location this was an active fixed lead and the screw was deployed adequate pacing and sensing function were established the suture sleeve was then advanced to the entry point of the tissue and connected securely to the tissue the pocket was washed with antibiotic impregnated saline pulse generator was obtained and connected securely to the lead the lead was then carefully wrapped behind the pulse generator and the entire system was placed in the pocket pocket was then closed with 2 0 3 0 and 4 0 vicryl using running mattress stitch no acute complications were noted device data 1 pulse generator manufacturer st jude model 12345 serial 123456 2 right ventricular lead manufacturer st jude model 12345 serial abcd123456 measured intraoperative data right ventricular lead impedance 630 ohms wave measures 17 5 mv pacing threshold of 0 8 at 0 5 msec device settings vvi 70 to 120 conclusions 1 successful implantation of the single chamber pacemaker with adequate pacing and sensing function 2 no acute complications plan 1 the patient will be admitted for overnight observation and dismissed at the discretion of primary service 2 chest ray to rule out pneumothorax and verify lead position 3 completion of course of antibiotics 4 device interrogation in the morning 5 home dismissal instructions provided in written format 6 wound check in 7 to 10 days 7 enrollment in device clinic ,yes
17,there are studies that show that an age breaker like alt 711 alagebrium might be useful in treating atherosclerosis most particularly in diabetics advanced glycation end product interventions reduce diabetes accelerated atherosclerosis http www ncbi nlm pubmed 15220206 the advanced glycation end product lowering agent alt 711 is low affinity inhibitor of thiamine diphosphokinase http www ncbi nlm pubmed 21612515 the effect of alagebrium chloride alt 711 novel glucose cross link breaker in the treatment of elderly patients with diastolic heart failure https www research c_heart_failure the effect noticed seems to be reduction in arterial stiffness which makes lots of sense given the proposed effect of breaking age crosslinks however this seems to me to be separate thing to reversing arterial plaques does anyone believe that age breakers like alt 711 have role in reversing arterial plaques and if so is there evidence to back that up equally importantly does anyone have any concern that patient using alt 711 with existing established arterial plaques might destabilize them leading to plaque rupture ,no
18,phloston said blacks often have stiffer vessels and d go with dihydropyridine ccb over thiazide initially in the absence of heart failure in black with heart failure we be looking at an acei arb first followed by beta blocker bisoprolol metoprolol xr carvedilol or nebivolol only followed by spironolactone followed by hydralazine and isosorbide dinitrate m over simplifying the hf tx scheme for the sake of this thread but the two points want to make are 1 blacks benefit from afterload reduction so in the absence of hf it makes no sense to choose thiazide over dccb and 2 hydralazine isosorbide dinitrate as combination yields extra mortality benefit in this group in the setting of heart failure was under the impression that most physicians use thiazide like hctz in african americans aa because of their diuretic effects e their mechanism of action since it well known that aa use lot of salt in their diet but think dccb such as norvasc would also be good doc to treat htn in aa treating p sometimes varies wildly among physicians ,no
19,quote originally posted by winston53660 actually think it is how one wants to measure things and would hold myself up as an example of what good can come from public assistance at 43 was diagnosed with congestive heart failure caused by very rare congenital condition isolated left ventricular non compaction the prognosis was fairly grim 4 to 5 years heart transplant and or death and that time my ejection fraction was 10 now today 5 and 1 2 years later my ejection fraction is 58 which is considered excellent without disability and the government healthcare would not be be here as working artist you and are now discussing public assistance in thread where we were discussing the arrogance of americans as viewed by the world the two are very different welfare and entitlements now encompass half of the annual budget of nation constructed on the concept of self reliance and equal opportunity for every welfare success where someone went off welfare to succeed can tell one where success cam without that help and were it not for the opportunity to escape welfare those stories would be fictional no amount of welfare success stories will counter the simple fact that we cannot be nation of serfs dependent on our government for subsistence and still be free men now to the subject at hand no matter what the world opinion of the day becomes regarding the charity of the american people virtually every time there is calamity man made or natural the world seems to call on us for assistance not because we are so rich here not because we have so much to offer here they call the usa because they know we will come,yes
20,nvs entresto is off to slow start http www wsj com articles novartis heart failure pill falls short of sales expectations 1458155650 quote entresto had 21 million in sales in the six months following its launch a fraction of the 126 million expected by industry analysts it also missed the company undisclosed internal forecasts said david epstein head of pharmaceuticals at novartis this has created big headache for novartis which is leaning heavily on entresto and another new drug cosentyx to blunt the impact of its blockbuster cancer drug gleevec losing patent protection in february entresto sluggish performance is puzzling given thatcardiologists agree the drug marks rare breakthrough in medicine for heart failure milton packer one of the cardiologists who co led the entresto trial said that while the drug had stoked enormous excitement among cardiologists they needed time to debate and digest the results before starting to use it in large numbers he noted that the introduction of beta blockers in the 1990s changed the entire landscape of the treatment of heart failure but it took about five to 10 years another reason for the lackluster launch until recently many patients health plans didn cover the drug priced at 12 50 day before discounts around two thirds of eligible patients are covered by medicare health plans which can take up to six months to start reimbursing for new drugs quote some analysts and nvs itself recently thought entresto would attain peak annual sales of 5b m not sure if they still do ,no
21,have to page through 9 slides 8 rheumatoid arthritis medication side effects by chris iliades md reviewed by farrokh sohrabi md minimizing the risks of rheumatoid arthritis treatment although there a range of drugs that can treat rheumatoid arthritis ra they can all have significant side effects some are common and some not so common says diane horowitz md an assistant professor of rheumatology at the hofstra north shore lij school of medicine in hempstead new york whether you re taking steroids or non steroidal anti inflammatory drugs nsaids to control your symptoms or using disease modifying anti rheumatic drugs dmards to manage your ra condition you and your doctor should discuss any potential side effects that can occur during your treatment here are eight ra medication side effects to be aware of nsaids and stomach problems nsaids which block the inflammation of ra can be present in both prescription drugs and over the counter drugs like ibuprofen the most common side effects are stomach problems like heartburn and belching but you can minimize these risks by taking the medication with food and just remember once you start ra management nsaid use should be only for add on symptom relief says matthew husa md rheumatologist and assistant professor in the division of rheumatology and immunology at the ohio state medical center in columbus nsaids and bleeding using nsaids can irritate the lining of your stomach which can then lead to bleeding and unfortunately taking the medication with food might not help if you are frequently taking over the counter nsaids you need to let your doctor know says dr horowitz your provider might be able to give you medication that will reduce your risk of bleeding while taking nsaids and in the meantime you can further cut your risk by avoiding alcohol steroids and toxicity steroids in ra management get symptoms under control quickly but they may also cause high blood pressure weight gain high blood sugar and decreased bone health that one reason they re better short term solution steroids can be used for while until dmards kick in dr husa says they are guaranteed to be toxic if you use them too long by limiting your exposure your doctor can help protect you from steroid side effects methotrexate fog trexall methotrexate is usually the first dmard used for ra management methotrexate does more than relieve symptoms it also slows down the disease states the johns hopkins arthritis center it is given once week as an injection or can be taken in pill form common side effects include nausea headaches fatigue and feeling wiped out almost as if you re in fog but by taking methotrexate at night you may be able to minimize these problems likewise you can avoid feeling nauseous if you opt for the injection under the skin taking folic acid b vitamin along with methotrexate may also help limit side effects horowitz says methotrexate liver damage the most serious side effect of methotrexate is liver damage that why people with existing liver disease aren good candidates for this medication according to the johns hopkins arthritis center you should have your liver checked with blood test when you start methotrexate and about every two months while you are taking it husa says to avoid liver damage while taking the medication limit alcoholic drinks to maximum of one or two per week triple therapy and eye damage combining methotrexate with two other dmards may be an option if methotrexate alone isn enough to achieve good ra management according to johns hopkins one of the drugs used in this triple therapy is hydroxychloroquine malaria drug that effective for some cases of ra for this particular dmard the most serious possible side effect is eye damage although you should have an eye exam by an eye specialist within six months of starting this drug and be rechecked at regular intervals recommended by your rheumatologist you should tell your doctor immediately if you start having eye pain sensitivity to light or vision changes says horowitz biologic drugs and infection biologic drugs are the newest addition to ra management your doctor may recommend one of these drugs if older dmards are not helping the biggest worry with biologics is an increased risk of infection horowitz says before you begin treatment with biologic drugs your doctor is likely to test you for tuberculosis and hepatitis because biologics weaken your immune system and could reactivate those infections and if you have another active infection your doctor may want to wait until you recover once you begin using biologics wash your hands frequently avoid people who are sick and tell your doctor if you develop cough fever or symptoms of cold biologic drugs and other issues there are rare reports that biologic drugs can possibly increase the risk for some cancers psoriasis multiple sclerosis and heart failure husa says but the research is still inconclusive in any case the benefits of biologic outweigh these risks husa says your best defense against all ra medication side effects is to be informed and follow all your doctor instructions carefully http www everydayhealth com pictures ra medication side effects 01,no
22,apr 4 2016 20 20 56 gmt texashounddog said apr 4 2016 18 35 05 gmt thebeeve said co workers father was diagnosed this past week with some iteration of congestive heart failure the medication is formulated by single pharmacy in the us the cost is 15 000 per month not covered by insurance ouch thought obamacare was gonna stop this shit no they only told us that obamacare was going to fix this that or this is just more unexpected thing that keeps unexpectedly happening ,no
23,aarhus university many danes are prescribed nsaids for the treatment of painful conditions fever and inflammation but the treatment also comes with side effects including the risk of ulcers and increased blood pressure major new study now gathers all research in the area this shows that arthritis medicine is particularly dangerous for heart patients and also that older types of arthritis medicine which have not previously been in focus also appear to be dangerous for the heart it been well known for number of years that newer types of nsaids what are known as cox 2 inhibitors increase the risk of heart attacks for this reason number of these newer types of nsaids have been taken off the market again we can now see that some of the older nsaid types particularly diclofenac are also associated with an increased risk of heart attack and apparently to the same extent as several of the types that were taken off the market says morten schmidt md and phd from aarhus university who is in charge of the research project he adds this is worrying because these older types of medicine are frequently used throughout the western world and in many countries available without prescription each year more than 15 per cent of the western countries collects prescription for nsaids this figure increases with age sixty per cent of the adult population in denmark collects at least one prescription for an nsaid within ten year period heart patients are no exception and previous studies have shown that up to forty per cent of danish patients with heart failure or previous heart attacks are prescribed nsaids the study which was carried out in collaboration between 14 european universities and hospitals including number of leading european heart specialists is today being published in the most prestigious european journal of heart medicine european heart journal new guidelines in the study the researchers have gathered all research on the use of nsaids in patients with heart disease the survey means that the european society of cardiology has now for the first time formulated number of recommendations about what doctors should consider before prescribing painkillers to their patients when doctors issue prescriptions for nsaids they must in each individual case carry out thorough assessment of the risk of heart complications and bleeding nsaids should only be sold over the counter when it comes with an adequate warning about the associated cardiovascular risks in general nsaids are not be used in patients who have or are at high risk of cardiovascular diseases says another of the authors professor in cardiology christian torp pedersen aalborg university denmark consumption should be reduced even more for number of years danish researchers have made significant contributions in the field one result of this work has been reduction in the use of diclofenac in denmark however according to morten schmidt there is still room for improvement many european countries consume more of these drugs than denmark but we can still do better and it often the case that paracetamol physiotherapy mild opioids or other types of nsaids with less risk for the heart would be better for the patients of course the recommendations that have been introduced following our study and its review of the heart related risks are big step in the right direction in relation to patient safety says morten schmidt facts about arthritis medicine nsaid nsaids is an abbreviation for nonsteroidal anti inflammatory drugs and is used to treat wide range of diseases in particular disorders in the muscular and bone system where the drug counteracts swelling pain and limitations in movement associated with inflammation nsaids are not antibiotics and therefore do not help to fight infections caused by bacteria nsaids are in denmark sold both in low doses ibuprofen 200 mg tablet without prescription and in higher doses and other types with prescription read the scientific article http eurheartj oxfordjournals org content early 2015 09 27 eurheartj ehv505 contact information aarhus university and aarhus university hospital department of clinical epidemiology london school of hygiene tropical medicine non communicable disease epidemiology telephone 44 7469799789,no
